case,split,cores,baseline_no_l2_makespan_cycles,baseline_l2_makespan_cycles,final_no_l2_makespan_cycles,final_l2_makespan_cycles,hardware_baseline_ratio,hardware_final_ratio,schedule_no_l2_ratio,schedule_l2_ratio,l2_strict_improvement
case_036,holdout,3,388000,388000,386836,386836,1.0,1.0,1.0030090270812437,1.0030090270812437,True
case_036,holdout,4,233584,233584,233584,233584,1.0,1.0,1.0,1.0,False
case_036,holdout,5,187182,187182,187182,187182,1.0,1.0,1.0,1.0,False
case_037,holdout,1,210001,210001,210001,210001,1.0,1.0,1.0,1.0,False
case_037,holdout,2,125692,125692,120651,120651,1.0,1.0,1.0417816677855964,1.0417816677855964,True
case_037,holdout,3,87130,87034,82197,82197,1.0011030172116644,1.0,1.0600143557550763,1.0588464299183669,True
case_037,holdout,4,68753,67669,68753,67237,1.016019152048944,1.0225471094784122,1.0,1.006425033835537,True
case_037,holdout,5,43800,43013,43800,43013,1.0182967939925138,1.0182967939925138,1.0,1.0,False
case_038,holdout,1,1364555,1363312,1364555,1363312,1.0009117502083162,1.0009117502083162,1.0,1.0,False
case_038,holdout,2,933300,933300,931959,931959,1.0,1.0,1.0014389045011636,1.0014389045011636,True
case_038,holdout,3,699260,699275,698261,697347,0.9999785492116835,1.0013106817696211,1.0014306971175535,1.002764764170492,True
case_038,holdout,4,693950,690381,690879,687539,1.0051696092447504,1.0048579062424094,1.004445062015201,1.0041335836948886,True
case_038,holdout,5,693950,690381,690879,687539,1.0051696092447504,1.0048579062424094,1.004445062015201,1.0041335836948886,True
case_039,holdout,1,1435262,1435262,1435262,1435262,1.0,1.0,1.0,1.0,False
case_039,holdout,2,865589,865287,865589,865287,1.000349017146912,1.000349017146912,1.0,1.0,False
case_039,holdout,3,693126,688780,693126,688780,1.006309707018206,1.006309707018206,1.0,1.0,False
case_039,holdout,4,558169,536614,558169,536614,1.0401685382789119,1.0401685382789119,1.0,1.0,False
case_039,holdout,5,533010,504978,533010,504978,1.0555113292064209,1.0555113292064209,1.0,1.0,False
case_040,holdout,1,253454,253454,253454,253454,1.0,1.0,1.0,1.0,False
case_040,holdout,2,145181,145181,145181,145181,1.0,1.0,1.0,1.0,False
case_040,holdout,3,127386,127290,120954,120858,1.0007541833608296,1.0007943206076553,1.05317724093457,1.0532194807129027,True
case_040,holdout,4,123991,123583,123991,123583,1.0033014249532703,1.0033014249532703,1.0,1.0,False
case_040,holdout,5,121977,121292,121943,121291,1.0056475282788642,1.0053755018921438,1.0002788187923866,1.000008244634804,True
case_041,holdout,1,6003957,6001575,6003957,6001575,1.0003968958148486,1.0003968958148486,1.0,1.0,False
case_041,holdout,2,3714990,3711448,3714990,3711448,1.0009543445038163,1.0009543445038163,1.0,1.0,False
case_041,holdout,3,3304486,3303843,3293350,3293350,1.0001946218388706,1.0,1.0033813594060759,1.0031861174791625,True
case_041,holdout,4,2174064,2174005,2174064,2174005,1.0000271388520265,1.0000271388520265,1.0,1.0,False
case_041,holdout,5,2112003,2092348,1776988,1775966,1.0093937528556436,1.0005754614671678,1.188529691815589,1.1781464284789236,True
case_042,validation,1,1686740,1675633,1686740,1675633,1.0066285397816825,1.0066285397816825,1.0,1.0,False
case_042,validation,2,987912,987913,971504,971504,0.999998987765117,1.0,1.0168892768326223,1.0168903061644625,True
case_042,validation,3,718407,718021,714209,713764,1.000537588733477,1.0006234553718036,1.0058778312790795,1.0059641562197028,True
case_042,validation,4,570782,570008,569622,568796,1.0013578756789379,1.0014521902404376,1.0020364381993674,1.0021308166724099,True
case_042,validation,5,486817,485853,486817,485853,1.00198413923553,1.00198413923553,1.0,1.0,False
case_043,holdout,1,677656,677656,677656,677656,1.0,1.0,1.0,1.0,False
case_043,holdout,2,340810,340755,340810,340755,1.0001614062889759,1.0001614062889759,1.0,1.0,False
case_043,holdout,3,264491,264463,263836,263524,1.0001058749239025,1.0011839528847468,1.0024826028290301,1.0035632428165935,True
case_043,holdout,4,249011,244783,247467,243939,1.017272441305156,1.0144626320514556,1.006239215733815,1.0034598813637836,True
case_043,holdout,5,222619,222762,222607,222721,0.9993580592740234,0.9994881488499063,1.000053906660617,1.000184086817139,True
case_044,development,1,154407,107814,154407,107814,1.4321609438477378,1.4321609438477378,1.0,1.0,False
case_044,development,2,58111,55027,58111,55027,1.0560452141675905,1.0560452141675905,1.0,1.0,False
case_044,development,3,58111,55027,58111,55027,1.0560452141675905,1.0560452141675905,1.0,1.0,False
case_044,development,4,58111,55027,58111,55027,1.0560452141675905,1.0560452141675905,1.0,1.0,False
case_044,development,5,58111,55027,58111,55027,1.0560452141675905,1.0560452141675905,1.0,1.0,False
case_045,holdout,1,125614,125614,125614,125614,1.0,1.0,1.0,1.0,False
case_045,holdout,2,78563,78563,66813,66813,1.0,1.0,1.1758639785670453,1.1758639785670453,True
case_045,holdout,3,45671,45671,43176,43176,1.0,1.0,1.057786733370391,1.057786733370391,True
case_045,holdout,4,39561,39561,39561,39561,1.0,1.0,1.0,1.0,False
case_045,holdout,5,29147,29147,27098,27098,1.0,1.0,1.075614436489778,1.075614436489778,True
case_046,validation,1,276455,244994,276455,244994,1.1284153897646474,1.1284153897646474,1.0,1.0,False
case_046,validation,2,112634,112634,112634,112634,1.0,1.0,1.0,1.0,False
case_046,validation,3,93107,84855,80749,79812,1.0972482470096045,1.0117400892096426,1.1530421429367546,1.0631859870696136,True
case_046,validation,4,80768,80768,80768,80768,1.0,1.0,1.0,1.0,False
case_046,validation,5,80768,80768,80768,80768,1.0,1.0,1.0,1.0,False
case_047,development,1,326508,326508,326508,326508,1.0,1.0,1.0,1.0,False
case_047,development,2,250591,250591,250172,250172,1.0,1.0,1.0016748477047792,1.0016748477047792,True
case_047,development,3,230393,230391,230393,230391,1.0000086808946531,1.0000086808946531,1.0,1.0,False
case_047,development,4,209241,209240,209241,209240,1.0000047792009177,1.0000047792009177,1.0,1.0,False
case_047,development,5,201442,201403,201442,201403,1.0001936416041468,1.0001936416041468,1.0,1.0,False
case_048,development,1,222220,222220,222220,222220,1.0,1.0,1.0,1.0,False
case_048,development,2,164258,164258,164258,164258,1.0,1.0,1.0,1.0,False
case_048,development,3,151763,151760,151763,151760,1.0000197680548235,1.0000197680548235,1.0,1.0,False
case_048,development,4,151763,151760,151763,151760,1.0000197680548235,1.0000197680548235,1.0,1.0,False
case_048,development,5,151763,151760,151763,151760,1.0000197680548235,1.0000197680548235,1.0,1.0,False
case_049,holdout,1,196276,196276,196276,196276,1.0,1.0,1.0,1.0,False
case_049,holdout,2,120499,120478,120187,120187,1.0001743056823653,1.0,1.0025959546373568,1.0024212269213808,True
case_049,holdout,3,97824,97823,97465,97465,1.0000102225448002,1.0,1.003683373518699,1.0036731134253323,True
case_049,holdout,4,86219,85900,85760,85545,1.0037136204889405,1.002513297095096,1.0053521455223882,1.0041498626453913,True
case_049,holdout,5,84557,83290,84539,83283,1.0152119101933006,1.01508110898983,1.0002129194809497,1.000084050766663,True
case_050,development,1,149690,149690,149690,149690,1.0,1.0,1.0,1.0,False
case_050,development,2,81891,81855,81210,81210,1.00043980208906,1.0,1.0083856667898041,1.0079423716291098,True
case_050,development,3,53248,53236,53488,53031,1.0002254113757607,1.008617601025815,0.9955130122644331,1.0038656634798515,True
case_050,development,4,46748,44398,46048,43595,1.0529303121762241,1.0562679206331,1.0152015288394718,1.0184195435256336,True
case_050,development,5,42140,39979,42790,39562,1.0540533780234622,1.0815934482584297,0.9848095349380697,1.010540417572418,True
case_051,development,1,607628,607628,607628,607628,1.0,1.0,1.0,1.0,False
case_051,development,2,607628,607628,607628,607628,1.0,1.0,1.0,1.0,False
case_051,development,3,607628,607628,607628,607628,1.0,1.0,1.0,1.0,False
case_051,development,4,607628,607628,607628,607628,1.0,1.0,1.0,1.0,False
case_051,development,5,607628,607628,607628,607628,1.0,1.0,1.0,1.0,False
case_052,holdout,1,180301,180301,180301,180301,1.0,1.0,1.0,1.0,False
case_052,holdout,2,96545,96545,96545,96545,1.0,1.0,1.0,1.0,False
case_052,holdout,3,69389,69389,69389,69389,1.0,1.0,1.0,1.0,False
case_052,holdout,4,62274,61006,58628,58545,1.0207848408353277,1.0014177128704416,1.0621887152896228,1.0420360406524896,True
