case,cores,baseline_l2_makespan,winner_l2_makespan,winner,strict_improvement,l2_ordering_speedup,official_calls,candidate_cache_hits,generation_failures,evaluation_failures
case_074,4,527458,526124,reuse_window,True,1.0025355239449256,1,0,0,0
case_074,5,431365,431365,baseline,False,1.0,2,0,0,0
case_075,2,992854,992854,baseline,False,1.0,1,0,0,0
case_075,3,933924,933924,balanced_window,False,1.0,2,0,0,0
case_075,4,800301,800301,baseline,False,1.0,2,0,0,0
case_075,5,751559,751559,balanced_window,False,1.0,2,0,0,0
case_076,2,4589392,4589392,baseline,False,1.0,0,0,0,0
case_076,3,3601264,3601264,baseline,False,1.0,0,0,0,0
case_076,4,3092516,3091221,reuse_window,True,1.00041892831344,1,0,0,0
case_076,5,2191253,2191253,baseline,False,1.0,0,0,0,0
case_077,2,294734,294734,baseline,False,1.0,2,0,0,0
case_077,3,218216,216777,balanced_window,True,1.0066381581071793,2,0,0,0
case_077,4,159524,157225,balanced_window,True,1.0146223564954682,2,0,0,0
case_077,5,139967,133298,reuse_window,True,1.05003075815091,2,0,0,0
case_078,2,1067021,1067021,baseline,False,1.0,0,0,0,0
case_078,3,711922,711922,baseline,False,1.0,2,0,0,0
case_078,4,538711,538711,baseline,False,1.0,2,0,0,0
case_078,5,433085,433085,baseline,False,1.0,2,0,0,0
case_079,2,15438610,15438610,baseline,False,1.0,0,0,0,0
case_079,3,10278153,10278153,baseline,False,1.0,0,0,0,0
case_079,4,7687887,7687887,baseline,False,1.0,0,0,0,0
case_079,5,7687887,7687887,baseline,False,1.0,0,0,0,0
case_080,2,190690,187580,reuse_window,True,1.0165795927071117,1,0,0,0
case_080,3,108144,101509,reuse_window,True,1.0653636623353595,1,0,0,0
case_080,4,108144,101509,reuse_window,True,1.0653636623353595,1,0,0,0
case_080,5,75193,75193,baseline,False,1.0,0,0,0,0
case_081,2,83829,83829,baseline,False,1.0,1,0,0,0
case_081,3,63387,63387,baseline,False,1.0,1,0,0,0
case_081,4,49373,48576,reuse_window,True,1.016407279314888,1,0,0,0
case_081,5,43036,42657,reuse_window,True,1.00888482546827,1,0,0,0
case_082,2,428638,428638,baseline,False,1.0,2,0,0,0
case_082,3,337625,335460,balanced_window,True,1.006453824599058,2,0,0,0
case_082,4,267131,267131,baseline,False,1.0,2,0,0,0
case_082,5,233487,233487,baseline,False,1.0,2,0,0,0
case_083,2,438429,438429,balanced_window,False,1.0,2,0,0,0
