case,cores,candidate,gain_pct,relation
case_017,5,map_locality@b0,-3.0861855670103093,worse
case_017,5,map_locality@b1,0.0,tie
case_017,5,map_locality@b2a_w4,3.2082474226804125,better
case_017,5,map_locality@b2a_w8,-20.875876288659793,worse
case_017,5,map_locality@b2a_w16,-30.851958762886596,worse
case_018,2,map_locality@b0,-75.2826298038489,worse
case_018,2,map_locality@b1,-71.70819909489842,worse
case_018,2,map_locality@b2a_w4,0.0,tie
case_018,2,map_locality@b2a_w8,-2.7870129246309086,worse
case_018,2,map_locality@b2a_w16,-2.1903595359896246,worse
case_018,3,map_locality@b0,-138.48150427741913,worse
case_018,3,map_locality@b1,-138.33288006527061,worse
case_018,3,map_locality@b2a_w4,0.0,tie
case_018,3,map_locality@b2a_w8,-8.680083401323543,worse
case_018,3,map_locality@b2a_w16,-13.303417641193002,worse
case_018,4,map_locality@b0,-137.24836825833046,worse
case_018,4,map_locality@b1,-167.01019122867285,worse
case_018,4,map_locality@b2a_w4,0.005439138898431238,better
case_018,4,map_locality@b2a_w8,-2.0980762624527656,worse
case_018,4,map_locality@b2a_w16,-10.571968395740296,worse
case_018,5,map_locality@b0,-111.5455224453612,worse
case_018,5,map_locality@b1,-231.03155822670826,worse
case_018,5,map_locality@b2a_w4,0.0,tie
case_018,5,map_locality@b2a_w8,-14.501008662632016,worse
case_018,5,map_locality@b2a_w16,-30.9348801820479,worse
case_019,2,map_locality@b0,-86.34944840239224,worse
case_019,2,map_locality@b1,-20.212537825537897,worse
case_019,2,map_locality@b2a_w4,0.0,tie
case_019,2,map_locality@b2a_w8,-1.3081083656984918,worse
case_019,2,map_locality@b2a_w16,-2.158736210059806,worse
case_019,3,map_locality@b0,-126.07161602612702,worse
case_019,3,map_locality@b1,-21.6889251764157,worse
case_019,3,map_locality@b2a_w4,2.75850002915962,better
case_019,3,map_locality@b2a_w8,-8.357147022802822,worse
case_019,3,map_locality@b2a_w16,-16.349798798623667,worse
case_019,4,map_locality@b0,-143.72311456647856,worse
case_019,4,map_locality@b1,6.823473696673113,better
case_019,4,map_locality@b2a_w4,-26.15336043253483,worse
case_019,4,map_locality@b2a_w8,-38.46639567465172,worse
case_019,4,map_locality@b2a_w16,-58.00544615020324,worse
case_019,5,map_locality@b0,-230.72620816219523,worse
case_019,5,map_locality@b1,0.0,tie
case_019,5,map_locality@b2a_w4,-34.973346150485014,worse
case_019,5,map_locality@b2a_w8,-51.46814646508783,worse
case_019,5,map_locality@b2a_w16,-85.60255177837979,worse
case_020,2,map_locality@b0,0.0,tie
case_020,2,map_locality@b1,-24.94823317578213,worse
case_020,2,map_locality@b2a_w4,-52.72788656313302,worse
case_020,2,map_locality@b2a_w8,-149.72803661189886,worse
case_020,2,map_locality@b2a_w16,-251.85047640483157,worse
case_020,3,map_locality@b0,0.0,tie
case_020,3,map_locality@b1,-24.86428772127002,worse
case_020,3,map_locality@b2a_w4,-138.2669289126159,worse
case_020,3,map_locality@b2a_w8,-235.4678280415847,worse
case_020,3,map_locality@b2a_w16,-382.48103399831416,worse
case_020,4,map_locality@b0,0.0,tie
case_020,4,map_locality@b1,-24.74196733082032,worse
case_020,4,map_locality@b2a_w4,-203.72913301023155,worse
case_020,4,map_locality@b2a_w8,-337.9315502901933,worse
case_020,4,map_locality@b2a_w16,-495.5259378926584,worse
case_020,5,map_locality@b0,-298.863483221778,worse
case_020,5,map_locality@b1,0.0,tie
case_020,5,map_locality@b2a_w4,-204.957099860743,worse
case_020,5,map_locality@b2a_w8,-321.2913466001827,worse
case_020,5,map_locality@b2a_w16,-458.28953476184057,worse
case_021,2,map_locality@b0,-1.0340561473610093,worse
case_021,2,map_locality@b1,-22.402652737019018,worse
case_021,2,map_locality@b2a_w4,-21.70360975755397,worse
case_021,2,map_locality@b2a_w8,-34.013446555261,worse
case_021,2,map_locality@b2a_w16,-34.013446555261,worse
case_021,3,map_locality@b0,-71.73525948837344,worse
case_021,3,map_locality@b1,-30.772100578787278,worse
case_021,3,map_locality@b2a_w4,0.0,tie
case_021,3,map_locality@b2a_w8,-13.659365427379415,worse
case_021,3,map_locality@b2a_w16,-13.659365427379415,worse
case_021,4,map_locality@b0,0.022783645370671658,better
case_021,4,map_locality@b1,-50.09978859042873,worse
case_021,4,map_locality@b2a_w4,-41.44420618821431,worse
case_021,4,map_locality@b2a_w8,-57.06711545832575,worse
case_021,4,map_locality@b2a_w16,-57.06711545832575,worse
case_021,5,map_locality@b0,0.1335848735978702,better
case_021,5,map_locality@b1,-21.213797161832805,worse
case_021,5,map_locality@b2a_w4,-50.31767710223098,worse
case_021,5,map_locality@b2a_w8,-67.56444408080547,worse
case_021,5,map_locality@b2a_w16,-67.56444408080547,worse
case_022,2,map_locality@b0,-95.71890701355909,worse
case_022,2,map_locality@b1,-45.51242342900406,worse
case_022,2,map_locality@b2a_w4,0.0,tie
case_022,2,map_locality@b2a_w8,-6.41819808658545,worse
case_022,2,map_locality@b2a_w16,-40.746094018858834,worse
case_022,3,map_locality@b0,-130.03118040089086,worse
case_022,3,map_locality@b1,-91.184855233853,worse
case_022,3,map_locality@b2a_w4,0.0,tie
case_022,3,map_locality@b2a_w8,-36.5924276169265,worse
case_022,3,map_locality@b2a_w16,-89.1358574610245,worse
case_022,4,map_locality@b0,-157.32553891121665,worse
case_022,4,map_locality@b1,-48.16861527219584,worse
case_022,4,map_locality@b2a_w4,4.233649981731823,better
case_022,4,map_locality@b2a_w8,-55.55352575812934,worse
case_022,4,map_locality@b2a_w16,-117.98958713920351,worse
case_022,5,map_locality@b0,-163.1615826598776,worse
case_022,5,map_locality@b1,-63.87630214415845,worse
case_022,5,map_locality@b2a_w4,9.609006399775774,better
case_022,5,map_locality@b2a_w8,-53.87022936422665,worse
case_022,5,map_locality@b2a_w16,-130.4900266268043,worse
case_023,2,map_locality@b0,-101.93404542154931,worse
case_023,2,map_locality@b1,-34.21480175602337,worse
case_023,2,map_locality@b2a_w4,0.0,tie
case_023,2,map_locality@b2a_w8,-6.196204500674064,worse
case_023,2,map_locality@b2a_w16,-24.575685298489404,worse
case_023,3,map_locality@b0,-183.60990488006618,worse
case_023,3,map_locality@b1,-28.641956162117452,worse
case_023,3,map_locality@b2a_w4,-2.3728287841191067,worse
case_023,3,map_locality@b2a_w8,-21.849152191894127,worse
case_023,3,map_locality@b2a_w16,-43.905086848635236,worse
case_023,4,map_locality@b0,-231.27881955118352,worse
case_023,4,map_locality@b1,-110.55333538272365,worse
case_023,4,map_locality@b2a_w4,0.0,tie
case_023,4,map_locality@b2a_w8,-41.822932677528435,worse
case_023,4,map_locality@b2a_w16,-85.43498309252998,worse
case_023,5,map_locality@b0,-124.75253612050415,worse
case_023,5,map_locality@b1,-67.47924992314786,worse
case_023,5,map_locality@b2a_w4,-7.728250845373501,worse
case_023,5,map_locality@b2a_w8,-49.77866584691054,worse
case_023,5,map_locality@b2a_w16,-91.85674761758376,worse
case_024,2,map_locality@b0,0.0,tie
case_024,2,map_locality@b1,0.0,tie
case_024,2,map_locality@b2a_w4,-0.40890792351555155,worse
case_024,2,map_locality@b2a_w8,-0.8035320502961834,worse
case_024,2,map_locality@b2a_w16,-1.438202229602836,worse
case_024,3,map_locality@b0,0.0,tie
case_024,3,map_locality@b1,0.0,tie
case_024,3,map_locality@b2a_w4,-0.40890792351555155,worse
case_024,3,map_locality@b2a_w8,-0.8035320502961834,worse
case_024,3,map_locality@b2a_w16,-1.438202229602836,worse
case_024,4,map_locality@b0,0.0,tie
case_024,4,map_locality@b1,0.0,tie
case_024,4,map_locality@b2a_w4,-0.40890792351555155,worse
case_024,4,map_locality@b2a_w8,-0.8035320502961834,worse
case_024,4,map_locality@b2a_w16,-1.438202229602836,worse
case_024,5,map_locality@b0,0.0,tie
case_024,5,map_locality@b1,0.0,tie
case_024,5,map_locality@b2a_w4,-0.40890792351555155,worse
case_024,5,map_locality@b2a_w8,-0.8035320502961834,worse
case_024,5,map_locality@b2a_w16,-1.438202229602836,worse
case_025,2,map_locality@b0,-63.6064825904524,worse
