case,makespan_k1,makespan_k2,makespan_k3,makespan_k4,makespan_k5,added_copy_bytes_k1,added_copy_bytes_k2,added_copy_bytes_k3,added_copy_bytes_k4,added_copy_bytes_k5,speedup_k1,speedup_k2,speedup_k3,speedup_k4,speedup_k5
case_037,210001,133437,91873,70758,46592,0,1595392,1978368,2191360,1925120,1.0,1.5737838830309434,2.2857749284338165,2.9678764238672657,4.507233001373627
case_038,1364555,1008722,795870,754961,737342,5627904,22607872,22706176,10424836,11362820,1.0,1.3527562599011422,1.7145450890220764,1.8074509809115968,1.850640544008072
case_039,1435262,870099,702273,565084,537968,7929856,13533184,15388672,16969728,18665472,1.0,1.6495387306501903,2.043737976541886,2.539909110857854,2.667931921601285
case_040,253454,147941,133644,127075,119987,0,847184,871760,896336,920912,1.0,1.7132099958767346,1.8964861871838616,1.9945229195357077,2.112345504096277
case_041,6003957,3673618,3425567,2164802,2012046,30898176,21554184,106948624,28938252,31777808,1.0,1.6343443983560622,1.752689992634796,2.773443945450901,2.984005832868632
case_042,1686740,1007984,756202,623840,565621,6629376,19385376,19459104,19532832,19606560,1.0,1.6733797361862888,2.2305415748702067,2.7038022569889715,2.9821028568599823
case_043,677656,349722,286671,286671,237206,49160,2549426,5522026,5522026,5690482,1.0,1.9376990867031527,2.3638805459917465,2.3638805459917465,2.856824869522693
case_044,154407,87589,87589,87589,87589,4438112,2915104,2915104,2915104,2915104,1.0,1.762858349792782,1.762858349792782,1.762858349792782,1.762858349792782
case_045,125614,80336,55620,44141,36900,0,217088,323584,466944,450560,1.0,1.5636078470424215,2.258432218626393,2.845744319340296,3.404173441734417
case_046,276455,154820,133612,133612,133612,3176288,3151648,5012448,5012448,5012448,1.0,1.785654308228911,2.069088105858756,2.069088105858756,2.069088105858756
case_047,326508,253283,233731,217701,213351,0,1518112,1747908,1801306,1828066,1.0,1.2891034929308325,1.3969392164496792,1.4998001846569378,1.530379515446377
case_048,222220,176165,163641,163641,163641,0,650944,651072,651072,651072,1.0,1.2614310447591746,1.3579726352197798,1.3579726352197798,1.3579726352197798
case_049,196276,139420,119670,112197,106993,0,1434798,2958270,1570092,3030208,1.0,1.4078037584277725,1.6401437285869471,1.7493872385179638,1.8344751525800755
