case,cores,makespan_cycles,added_copy_bytes,speedup_t1_over_tk,selected_plan,reported_value_kind,officially_measured
case_061,3,42307,1338952,1.8245444016356631,b2a_w4,officially_measured_after_fallback,True
case_061,4,41145,1338952,1.8760724267833275,b2a_w4,officially_measured_after_fallback,True
case_061,5,40974,1338952,1.883901986625665,b2a_w4,officially_measured_after_fallback,True
case_062,1,2854809,0,1.0,single_core_baseline,officially_measured_original,True
case_062,2,1640007,50250240,1.7407297651778315,b2a_w4,officially_measured_original,True
case_062,3,1192564,247296,2.393841336817144,b1,officially_measured_after_fallback,True
case_062,4,895100,431616,3.1893743715785945,b1,officially_measured_after_fallback,True
case_062,5,718658,529920,3.9724166432433785,b1,officially_measured_after_fallback,True
case_063,1,1070397,0,1.0,single_core_baseline,officially_measured_original,True
case_063,2,617043,18823680,1.7347202707104692,b2a_w4,officially_measured_original,True
case_063,3,448490,287232,2.3866685990769025,b1,officially_measured_after_fallback,True
case_063,4,338258,370176,3.1644395697958365,b1,officially_measured_after_fallback,True
case_063,5,271928,364032,3.936325056632638,b1,officially_measured_after_fallback,True
case_064,1,19116,0,1.0,single_core_baseline,officially_measured_original,True
case_064,2,17926,57174,1.0663840232065156,b2a_w4,officially_measured_original,True
case_064,3,16935,57242,1.128786536758193,b2a_w4,officially_measured_after_fallback,True
case_064,4,16072,121864,1.1893977103036335,b2a_w8,officially_measured_after_fallback,True
case_064,5,16072,121864,1.1893977103036335,inherit_k4,officially_measured_after_fallback,True
case_065,1,53068,0,1.0,single_core_baseline,officially_measured_original,True
case_065,2,33464,855724,1.5858235715993303,b2a_w4,officially_measured_original,True
case_065,3,24538,300856,2.162686445513082,b1,officially_measured_after_fallback,True
case_065,4,23966,890544,2.2143035967620794,b2a_w4,officially_measured_after_fallback,True
case_065,5,22977,916148,2.309613961787875,b2a_w4,officially_measured_after_fallback,True
case_066,1,359070,0,1.0,single_core_baseline,officially_measured_original,True
case_066,2,196267,2021184,1.82949757218483,b2a_w8,officially_measured_original,True
case_066,3,144846,2295066,2.478977672838739,b2a_w8,officially_measured_after_fallback,True
case_066,4,128719,2372426,2.789564866103684,b2a_w8,officially_measured_after_fallback,True
case_066,5,115064,2445690,3.120611138149204,b2a_w8,officially_measured_after_fallback,True
case_067,1,63834834,264449408,1.0,single_core_baseline,officially_measured_original,True
case_067,2,32108755,219499648,1.988081879848658,b2a_w8,officially_measured_original,True
case_067,3,21639488,220745600,2.949923491720322,b2a_w8,officially_measured_after_fallback,True
case_067,4,16587795,221991552,3.848301356509409,b2a_w8,officially_measured_after_fallback,True
case_067,5,13419797,221533568,4.756765992808982,b2a_w16,officially_measured_after_fallback,True
case_068,1,362095,0,1.0,single_core_baseline,officially_measured_original,True
case_068,2,228701,3252326,1.583268109890206,b2a_w16,officially_measured_original,True
case_068,3,187358,3255914,1.9326369837423545,b2a_w16,officially_measured_after_fallback,True
case_068,4,171172,3259502,2.115386862337298,b2a_w16,officially_measured_after_fallback,True
case_068,5,170197,3266674,2.127505185167776,b2a_w16,officially_measured_after_fallback,True
case_069,1,25144,0,1.0,single_core_baseline,officially_measured_original,True
case_069,2,21908,456078,1.1477085995983205,b2a_w4,officially_measured_original,True
case_069,3,18665,503702,1.3471202785963032,b2a_w4,officially_measured_after_fallback,True
case_069,4,18008,503706,1.396268325188805,b2a_w4,officially_measured_after_fallback,True
case_069,5,18008,503706,1.396268325188805,inherit_k4,officially_measured_after_fallback,True
case_070,1,117300,0,1.0,single_core_baseline,officially_measured_original,True
case_070,2,75454,1886666,1.554589551249768,b2a_w4,officially_measured_original,True
case_070,3,55893,1984970,2.0986527829960817,b2a_w4,officially_measured_after_fallback,True
case_070,4,50978,2083274,2.3009925850366826,b2a_w4,officially_measured_after_fallback,True
case_070,5,46898,954568,2.5011727579001235,b1,officially_measured_after_fallback,True
case_071,1,18919,0,1.0,single_core_baseline,officially_measured_original,True
case_071,2,16356,321038,1.1567009048667156,b2a_w4,officially_measured_original,True
case_071,3,14761,354068,1.2816882325045729,b2a_w4,officially_measured_after_fallback,True
case_071,4,14363,354072,1.3172039267562488,b2a_w4,officially_measured_after_fallback,True
case_071,5,14363,354072,1.3172039267562488,inherit_k4,officially_measured_after_fallback,True
