case,cores,winner,baseline_makespan,winner_makespan,strict_improvement,official_calls,candidate_cache_hits,failures
case_086,3,baseline,59513,59513,False,1,0,0
case_086,4,mapping_locality_one_move,47180,47046,True,1,0,0
case_086,5,mapping_locality_one_move,47180,47046,True,1,0,0
case_087,2,mapping_locality_one_move,2287771,2209662,True,1,0,0
case_087,3,baseline,1577719,1577719,False,1,0,0
case_087,4,mapping_locality_one_move,1346575,1346575,False,1,0,0
case_087,5,mapping_locality_one_move,1166481,1164477,True,1,0,0
case_088,2,mapping_locality_one_move,134995,134506,True,1,0,0
case_088,3,baseline,100296,100296,False,1,0,0
case_088,4,baseline,80351,80351,False,2,0,0
case_088,5,baseline,76993,76993,False,2,0,0
case_089,2,baseline,339435,339435,False,1,0,0
case_089,3,baseline,226846,226846,False,1,0,0
case_089,4,baseline,170137,170137,False,1,0,0
case_089,5,baseline,137328,137328,False,0,0,0
case_090,2,baseline,457807,457807,False,1,0,0
case_090,3,mapping_balanced_one_move,324546,314383,True,2,0,0
case_090,4,baseline,269062,269062,False,0,0,0
case_090,5,baseline,269062,269062,False,0,0,0
case_091,2,baseline,5690664,5690664,False,1,0,0
case_091,3,baseline,4629475,4629475,False,1,0,0
case_091,4,baseline,3976008,3976008,False,1,0,0
case_091,5,mapping_locality_one_move,3122835,3122568,True,1,0,0
case_092,2,baseline,2015242,2015242,False,0,0,0
case_092,3,baseline,1330599,1330599,False,0,0,0
case_092,4,baseline,1018974,1018974,False,0,0,0
case_092,5,baseline,827744,827744,False,0,0,0
case_093,2,baseline,45680,45680,False,0,0,0
case_093,3,baseline,26765,26765,False,0,0,0
case_093,4,baseline,23577,23577,False,0,0,0
case_093,5,baseline,19312,19312,False,0,0,0
case_094,2,mapping_locality_one_move,51407,50397,True,1,0,0
case_094,3,mapping_locality_one_move,36685,36228,True,1,0,0
case_094,4,baseline,30467,30467,False,1,0,0
case_094,5,mapping_locality_one_move,26086,25225,True,1,0,0
case_095,2,baseline,1040351,1040351,False,0,0,0
case_095,3,baseline,693735,693735,False,0,0,0
case_095,4,baseline,522106,522106,False,0,0,0
case_095,5,baseline,418656,418656,False,0,0,0
case_096,2,baseline,44882,44882,False,1,0,0
case_096,3,baseline,35025,35025,False,2,0,0
case_096,4,mapping_locality_one_move,34929,33012,True,1,0,0
case_096,5,mapping_locality_one_move,34929,33012,True,1,0,0
case_097,2,baseline,5834394,5834394,False,0,0,0
case_097,3,baseline,4243972,4243972,False,0,0,0
case_097,4,baseline,2869852,2869852,False,1,0,0
case_097,5,baseline,2786482,2786482,False,0,0,0
case_098,2,baseline,94248,94248,False,1,0,0
case_098,3,baseline,87943,87943,False,1,0,0
case_098,4,baseline,87943,87943,False,1,0,0
case_098,5,baseline,87943,87943,False,1,0,0
case_099,2,baseline,1555453,1555453,False,1,0,0
case_099,3,mapping_locality_one_move,751508,750093,True,1,0,0
case_099,4,baseline,613140,613140,False,1,0,0
case_099,5,mapping_locality_one_move,503340,502483,True,1,0,0
case_100,2,baseline,78892,78892,False,1,0,0
case_100,3,baseline,69368,69368,False,1,0,0
case_100,4,baseline,65227,65227,False,2,0,0
case_100,5,baseline,65227,65227,False,2,0,0
