case,cores,plan_sha256,graph_sha256,no_l2_source,same_core_speedup,no_l2_makespan,no_l2_added_copy_bytes,no_l2_scheduled_copy_bytes,no_l2_spill_added_copy_bytes,no_l2_partition_added_copy_bytes,no_l2_cross_task_traffic_bytes,no_l2_cross_core_transfer_count,no_l2_copy_in_hits,no_l2_copy_in_misses,no_l2_cache_hit_bytes,no_l2_cache_miss_bytes,no_l2_cache_hit_rate_bytes,l2_makespan,l2_added_copy_bytes,l2_scheduled_copy_bytes,l2_spill_added_copy_bytes,l2_partition_added_copy_bytes,l2_cross_task_traffic_bytes,l2_cross_core_transfer_count,l2_copy_in_hits,l2_copy_in_misses,l2_cache_hit_bytes,l2_cache_miss_bytes,l2_cache_hit_rate_bytes
case_011,3,444caaab3114d294b120b12e893ec9e3e5e33b9eafd2bb2cf15b4f1a0ae0b4fc,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,stage1_verified_reuse,1.0,79286,1916928,2523136,0,1916928,958464,234,,,,,,79286,1916928,2523136,0,1916928,958464,234,0,410,0,1499136,0.0
case_011,4,7fea61be73220783c354d517dc4fa5b77afdbc966e7685dd65ce1308bafe8c12,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,stage1_verified_reuse,1.0,46880,540672,1146880,0,540672,0,0,,,,,,46880,540672,1146880,0,540672,0,0,0,440,0,1081344,0.0
case_011,5,c3a4ee85259fb48f56373ec35c1c34e96516f112ac355aebabfb3bd2f4c3ae8c,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,stage1_verified_reuse,1.0,46880,540672,1146880,0,540672,0,0,,,,,,46880,540672,1146880,0,540672,0,0,0,440,0,1081344,0.0
case_012,1,b1e544818b255ab54c5868e649c86d35f523cf071e352e0a343d241a43bb9976,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,stage1_verified_reuse,1.0,59088,0,554898,0,0,0,0,,,,,,59088,0,554898,0,0,0,0,0,251,0,484096,0.0
case_012,2,84b6f4ff122e20b8c1f78d95aeaa9d08541b7494e3bb7fe5e86e5d05181215fe,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,stage1_verified_reuse,1.0446741627372749,34562,822062,1376960,0,822062,327538,297,,,,,,33084,822062,1376960,0,822062,327538,297,49,548,166986,811634,0.1706341583045513
case_012,3,bd40553e7cba262504376b23f04f24cf7c4fc8073a5dc55511896b5ee7a180a4,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,stage1_verified_reuse,1.0764921530666887,26134,713818,1268716,0,713818,282858,226,,,,,,24277,713818,1268716,0,713818,282858,226,47,477,148102,766954,0.1618502037033799
case_012,4,1d1afa84bee9077d76bde51a0b7ea7f3417ebd84a03a2f5ef6eb8094b8ade552,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,stage1_verified_reuse,1.0002863337014767,24454,163180,718078,0,163180,53652,38,,,,,,24447,163180,718078,0,163180,53652,38,27,289,55876,537748,0.0941269220920987
case_012,5,f55117e9bbef3cf58fa2df3d254c21ced75ab6a61c2c95c661af717d63175303,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,stage1_verified_reuse,1.0002863337014767,24454,163180,718078,0,163180,53652,38,,,,,,24447,163180,718078,0,163180,53652,38,27,289,55876,537748,0.0941269220920987
case_013,1,98a0668cad932fa3f39cf3e83cffe8c6d06e58eac83dfdc2a7e398400296a4d8,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,stage1_verified_reuse,1.0,263949,0,2527232,0,0,0,0,,,,,,263949,0,2527232,0,0,0,0,0,988,0,2023424,0.0
case_013,2,5dfdc691de0e0e53e38ac4466f56fd554ef95a565cdc48b85909007fa6a131d8,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,stage1_verified_reuse,1.0,165065,40960,2568192,0,40960,16384,8,,,,,,165065,40960,2568192,0,40960,16384,8,0,1000,0,2048000,0.0
